SMILES,ODOR
CC1(C2CCC(C2)(C1O)C)C,"balsam,floral,honey,sweet,camphor"
CCOC(C)OCC,"cream,earth,ether,ethereal,floral,fruit,green,honey,nut,sweet,tart,vegetable,whiskey"
CC=O,"aldehydic,coffee,ether,ethereal,fruit,pungent,whiskey,wine"
CCCOC(C)OCCc1ccccc1,"ethereal,green,herb,leaf"
COc1ccc(cc1)C(C)=O,"anisic,butter,caramel,fruit,nut,sweet,vanilla"
CC(C)=O,"apple,ethereal,fruit,mint,pear,pungent,solvent,sweet"
CC(=O)c1ccccc1,"almond,balsam,floral,fruit,hawthorn,must,nut,orange blossom,sweet"
COc1cc(ccc1O)C(C)=O,"sweet,vanilla"
CC(=O)c1cc(C)oc1C,"caramel,meat,must,nut,roasted,sweet"
CC(=O)c1ncc(C)nc1C,"caramel,hazelnut,nut,roasted"
CC1=CC(=C(S1)C)C(=O)C,"burnt,meat,roasted"
CCc1nccnc1C(C)=O,"chip,corn,earth,fat,meat,nut,oil,popcorn,potato,tomato,vegetable"
CC(=O)c1oc(C)cc1,nut
CC(=O)c1ccccn1,"fat,nut,oil,popcorn,tobacco"
CC(=O)c1cccnc1,"balsam,fruit,nut,sweet"
CC(=O)c1sccn1,"balsam,chocolate,fruit,hazelnut,meat,nut,popcorn,roast,sulfur"
OC(=O)C\C(=C/C(O)=O)C(O)=O,"cashew,dry,meat,must,nut,toasted,vegetable"
NCCC(O)=O,"fruit,odorless,sweet"
COc1ccc(CC=C)cc1,"alcohol,anise,anisic,green,herb,licorice,mint,sweet,vanilla"
CCCC(=O)OCC=C,"apricot,fruit,green,peach,pineapple,pungent,sweet,tropical,wax"
C=CCOC(=O)\C=C\c1ccccc1,"apricot,balsam,fruit,peach"
C=CCOC(=O)CCC1CCCCC1,"balsam,fruit,pineapple,sweet,wax"
COc1cc(CC=C)cc(OC)c1O,"bacon,burnt,floral,ham,meat,roasted,smoke,sweet"
C=CCSSCC=C,"alliaceous,garlic,green,metallic,onion"
CCC(CC)C(=O)OCC=C,"ethereal,fat,fruit,oil"
C=CCOC(=O)c1occc1,"balsam,caramel,fruit,jam"
CCCCCCC(=O)OCC=C,"apricot,balsam,banana,berry,fruit,pineapple,sweet"
CCCCCC(=O)OCC=C,"fat,fruit,pineapple,sweet"
CC1=CCCC(C)(C)C1\C=C\C(=O)CCC=C,"floral,fruit,meat,spice,wood"
CC(C)CC(=O)OCC=C,"apple,banana,cherry,fruit,pineapple,sweet"
CCCCCCCC(=O)OCC=C,"banana,butter,fat,fruit,green,pineapple,sweet,tropical,wax"
C=CCOC(=O)COc1ccccc1,"balsam,fruit,honey,pineapple,sweet"
C=CCOC(=O)Cc1ccccc1,"balsam,fruit,honey,rum,sweet"
CCC(=O)OCC=C,"apple,apricot,ethereal,fruit,ripe,tropical"
C=CCSCC=C,"alliaceous,garlic,green,horseradish,metallic,onion,pungent,radish,sulfur"
CCC(=O)SCC=C,"alliaceous,coffee,fresh,garlic,gas,green,onion,sweet"
C\C=C(/C)C(=O)OCC=C,"berry,fruit,green,jam"
CCCCCOC(C)=O,"banana,earth,ethereal,fruit,pear,sweet"
CCCCCO,"balsam,fermented,fruit,fusel,oil,sweet,vanilla"
CCCCCOC(=O)CCC,"banana,cherry,fruit,pineapple,sweet,tropical"
CCCCC/C(C=O)=C/c1ccccc1,"floral,jasmine,lily,sweet"
CCCCC\C(CO)=C/c1ccccc1,"alcohol,jasmine,spice"
CCCCCOC=O,"earth,ethereal,fruit"
CCCCCOC(=O)c1occc1,"anisic,fat,fennel,fruit,herb,oil"
CCCCCOC(=O)CCCCC,"fruit,pineapple"
CCCCCCCC(=O)OCCCCC,"balsam,fruit,orris,sweet,wine"
CCCCCC1=CC=CC(=O)O1,"almond,coconut,cream,earth,fat,fruit,lactone,mushroom,nut,sweet,tonka,wax"
COc1ccc(\C=C\C)cc1,"anise,anisic,spice,sweet"
CC1=CCC(=O)O1,"coconut,fat,herb,nut,oil,sweet"
COc1ccc(C=O)cc1,"almond,anise,anisic,berry,cherry,chocolate,cinnamic,cream,floral,fruit,hawthorn,herb,mimosa,mint,sweet,vanilla"
COc1ccccc1,"alcohol,butter,cheese,chemical,ethereal,fat,phenol"
COc1ccc(COC(C)=O)cc1,"almond,balsam,cherry,coumarin,cream,fat,fruit,lilac,nut,plum,powdery,spice,sweet,vanilla"
COc1ccc(CO)cc1,"caramel,chocolate,floral,fruit,honey,hyacinth,powdery,sweet,vanilla"
COc1ccc(COC=O)cc1,"floral,spice,sweet"
CCC(=O)OCc1ccc(OC)cc1,"balsam,floral,fruit,vanilla"
O=Cc1ccccc1,"almond,burnt sugar,cherry,fruit,nut,sweet"
COC(OC)c1ccccc1,"almond,floral,fruit,green,nut,sharp,wine"
Sc1ccccc1,"alliaceous,garlic,meat,onion,penetrating,repulsive"
OC(=O)c1ccccc1,"balsam,urine"
O=C(c1ccccc1)c2ccccc2,"apricot,balsam,fruit,peach"
CC(=O)OCc1ccccc1,"apple,apricot,boiled vegetable,cherry,floral,fresh,fruit,jasmine,pear,plum,sweet"
OCc1ccccc1,"aromatic,berry,cherry,citrus,floral,grapefruit,sweet,walnut"
O=C(OCc1ccccc1)c2ccccc2,"almond,balsam,cheese,cherry,fat,floral,fruit,herb,nut,oil,pineapple,strawberry,sweet"
CCCC(=O)OCc1ccccc1,"apricot,berry,butter,cheese,fat,floral,fruit,jasmine,peach,pear,plum"
O=C(OCc1ccccc1)/C=C/c2ccccc2,"apricot,balsam,cherry,chocolate,floral,peach,pineapple"
C(SSCc1ccccc1)c2ccccc2,"burnt,caramel,earth,green,smoke"
C(OCc1ccccc1)c2ccccc2,"almond,balsam,chocolate,earth,fruit,nut,spice,sweet"
O=COCc1ccccc1,"apricot,floral,fruit,meat,pineapple,sweet"
CC(=O)\C=C\c1ccccc1,"almond,anise,balsam,butter,cherry,cinnamic,cream,floral,herb,jam,spice,sweet,vanilla,wood"
CC(C)C(=O)OCc1ccccc1,"floral,fruit,jasmine"
CC(C)CC(=O)OCc1ccccc1,"apple,fruit,herb,pineapple"
SCc1ccccc1,"alliaceous,coffee,garlic,horseradish,meat,mint,onion,sharp,sulfur"
O=C(Cc1ccccc1)OCc2ccccc2,"balsam,floral,honey,sweet"
CCC(=O)OCc1ccccc1,"apple,banana,berry,floral,fruit,jam,jasmine,strawberry,sweet"
Oc1ccccc1C(=O)OCc2ccccc2,"balsam,floral,sweet"
c1ccc(cc1)c2ccccc2,"geranium,green,pungent,rose"
CC(=O)OC1CC2CCC1(C)C2(C)C,"balsam,cedar,herb,pine,spice,sweet,wood"
SCCCCS,"meat,sulfur"
CCCCS,"alliaceous,coffee,egg,garlic,onion,sulfur"
CCC(C)=O,"acetone,camphor,ether,ethereal,fruit,mint,pungent,sweet"
CCCCOC(C)=O,"banana,ethereal,fruit,green,pear,sweet"
CCCCO,"balsam,fermented,fruit,fusel,medicine,oil,putrid,sweet,vanilla"
CCCCN,"ammonia,fish,meat"
CCCCOC(=O)c1ccccc1N,"fruit,plum,sweet"
CCCCOC(=O)CCC,"apple,banana,berry,fruit,peach,pear,pineapple"
CCCCOC(=O)C(C)OC(=O)CCC,"butter,cheese,coconut,cream,wax"
CCC(C)C1CCCCC1=O,"balsam,earth,green,menthol,mint,must,spice,vanilla,wood"
CC(=O)OC1CCCCC1C(C)(C)C,"citrus,fruit,wood"
CCCCOC=O,"brandy,fruit,plum,rum"
CCCCCCC(=O)OCCCC,"apple,cut,fruit,grass,green,herb,marigold"
CCCCCC(=O)OCCCC,"berry,fruit,pineapple,wine"
CCC\C=C/1OC(=O)c2ccccc12,herb
CCCCOC(=O)C(C)C,"apple,banana,fruit"
CCCCOC(=O)CC(C)C,"apple,ethereal,fruit,peach"
CCCCOC(=O)C(C)O,"cream,diffusive,fermented,fruit,milk,mushroom,sweet"
CCCCCCCCCCCC(=O)OCCCC,"fat,fruit,oil,peanut,soap,wax"
CCCCOC(=O)CCC(C)=O,"caramel,fruit,herb,wax"
CCCCOC(=O)C(C)CC,"chocolate,cocoa,fruit,green"
CCCCOC(=O)Cc1ccccc1,"balsam,floral,honey,rose"
CCCCOC(=O)CC,"banana,earth,ethereal,fruit,rose,rum,sweet,weak"
CCCCSCCCC,"alliaceous,garlic,green,herb,onion"
CCCCOC(=O)CCCCCCCCC=C,"butter,fat"
CCCCOC(=O)CCCC,"apple,ethereal,fruit,green,pineapple,raspberry,sweet,tropical"
CCCC=O,"apple,balsam,chocolate,citrus,cream,earth,ethereal,fat,floral,fruit,green,herb,meat,nut,other,pear,pungent,spice,vegetable,wine,wood"
CCCC(O)=O,"cheese,fat,pungent,putrid,rancid,sweat"
CCCC(=O)c1ccccc1,"camphor,cherry,fruit,hazelnut,vanilla,walnut"
COc1ccc(CC=C)cc1OC,"anise,apricot,banana,chocolate,cinnamic,clove,coconut,cream,earth,fruit,green,must,oil,peach,plum,raspberry,spice,sweet,vanilla,wood"
C(SSCc1occc1)c2occc2,"cabbage,chicken,coffee,meat,onion,roasted,sulfur"
C\C=C(/C)C1CCC(C)(C)O1,citrus
OC1CSC(O)CS1,"bread,broth,chemical,egg,meat,sulfur,toasted,tomato"
Cc1cccc(C)n1,"amine,bread,cocoa,coffee,green,nut,oil,wood"
CC(CCC=C(C)C)CC(O)=O,"fat,floral,grass,green,smoke"
CC(C)C1(O)CCC(=CC1)C,"chocolate,earth,fruit,grapefruit,herb,lemon,lime,mint,must,nutmeg,pepper,spice,terpene,wood"
CC(C)=CCC\C(C)=C\CCC(C)=O,"apple,floral,green,magnolia,rose,vegetable,wood"
CC(=O)OC1CCCCC1,"earth,fat,fruit,must,sweet"
CCCC(=O)OC1CCCCC1,"apple,fruit,pineapple"
CC(C)CC(=O)OC1CCCCC1,"apple,banana,berry,fruit,green,sweet"
CCC(=O)OC1CCCCC1,"banana,fruit,green,pineapple,sweet,wax"
SC1CCCC1,"alliaceous,celery,citrus,earth,egg,fat,floral,fruit,garlic,green,herb,horseradish,meat,nut,onion,other,spice,vegetable,wine,wood"
CC(C)c1ccc(C)cc1,"citrus,gasoline,solvent,terpene"
C/C=C/C(=O)C1=C(C)C=CCC1(C)C,"apple,citrus,floral,herb,nut,rose,smoke,wood"
CCCCC/C=C/C=C/C=O,"citrus,fat,fried,green,meat,orange,wax"
CCCCCCCCCC=O,"aldehydic,citrus,floral,orange peel,soap,sweet,tallow,wax"
CCCCCCCCCC(OC)OC,"citrus,floral,green,herb,neroli"
