SMILES,Descriptors
CCCCOC(=O)C(C)OC(=O)CCC,"[11.258151455026455, -0.7908276643990935, Ellipsis]"
CC(C)CC(=O)O,"[9.809722222222222, -0.712962962962963, Ellipsis]"
CCCCCCCCC(=O)O,"[10.088166965860419, -0.6662115509784157, Ellipsis]"
CCC(C)CC(=O)O,"[9.96861111111111, -0.6950462962962958, Ellipsis]"
CC(C)CCC(=O)O,"[9.90375, -0.6956481481481476, Ellipsis]"
CCCC(=O)O,"[9.599305555555556, -0.7106481481481481, Ellipsis]"
CCC(C)C(=O)O,"[9.930324074074074, -0.7060185185185184, Ellipsis]"
C1CC(C1)C(=O)O,"[9.981574074074073, -0.619212962962963, Ellipsis]"
C1=CC=C(C=C1)C=O,"[10.006481481481481, 0.7291666666666669, Ellipsis]"
CC(C(C)O)O,"[8.37962962962963, -0.5925925925925928, Ellipsis]"
C1=CC=C2C(=C1)C=CC(=O)O2,"[10.716763038548752, -0.3021296296296294, Ellipsis]"
CCCCCCCC(=O)O,"[10.031994126354245, -0.6699088246409672, Ellipsis]"
CCCCCCCC=O,"[9.8375496819098, 0.7536848072562358, Ellipsis]"
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,"[11.846296296296297, 0.07518518518518547, Ellipsis]"
COC1=C(C=C(C=C1)CC=C)OC,"[5.163907785336357, 0.7595483749055179, Ellipsis]"
CC1=CC=C(C=C1)C(C)C,"[2.212962962962963, 0.6533333333333331, Ellipsis]"
CCCCCCCC1CCC(=O)O1,"[10.76643372435445, -0.0013350077685392314, Ellipsis]"
CCCCCCCC(=O)OCC,"[10.853521904132023, -0.047223639455781896, Ellipsis]"
C1CCNCC1,"[3.2847222222222223, 1.25, Ellipsis]"
CCCCCCC(=O)O,"[9.962453231292518, -0.6749045729402872, Ellipsis]"
CCCCCCN,"[5.269288548752835, 0.8611111111111112, Ellipsis]"
CCCCCCO,"[8.292882653061223, 0.36111111111111116, Ellipsis]"
CCCCCCCCS,"[4.145649364169536, 1.0616319444444444, Ellipsis]"
CCCCCCCCC(=O)O,"[10.088166965860419, -0.6662115509784157, Ellipsis]"
CC(=O)OCC1=CC=CC=C1,"[10.39484552154195, -0.24180272108843526, Ellipsis]"
CCCCCCOC(=O)C,"[10.254216348576467, -0.16990882464096724, Ellipsis]"
CCCCCOC(=O)CC,"[10.552731009070294, -0.08694160997732392, Ellipsis]"
C=CCOC(=O)CC1=CC=CC=C1,"[11.101346371882087, -0.2165740740740738, Ellipsis]"
CCCCCCOC(=O)C,"[10.254216348576467, -0.16990882464096724, Ellipsis]"
CCCCCCCCC=O,"[9.893722521415974, 0.7560763888888888, Ellipsis]"
CCCCCC(=O)C=C,"[10.568568594104308, 0.16986111111111146, Ellipsis]"
CC1=CC[C@H](CC1=O)C(=C)C,"[11.199537037037038, 0.2817129629629631, Ellipsis]"
CC(=CCC/C(=C/CO)/C)C,"[8.5533841962711, 0.16731623204837498, Ellipsis]"
CCC/C=C/C=O,"[9.592874149659863, 0.80125, Ellipsis]"
COC1=CC=CC=C1O,"[8.98550925925926, 0.1805555555555558, Ellipsis]"
CCCCCCCO,"[8.365586734693878, 0.36479591836734704, Ellipsis]"
CCCCCCC=O,"[9.768008786848073, 0.75, Ellipsis]"
COC(=O)C1=CC=CC=C1O,"[10.852037037037038, -0.5249074074074074, Ellipsis]"
C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,"[9.70976851851852, -0.028935185185185563, Ellipsis]"
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],"[10.379537037037037, -0.660277777777778, Ellipsis]"
CSSC,"[2.060185185185185, 1.7731481481481481, Ellipsis]"
CSSCC1=CC=CO1,"[5.101388888888889, 0.9664351851851852, Ellipsis]"
CCCCCO,"[8.19736111111111, 0.355, Ellipsis]"
CCC=O,"[9.17361111111111, 0.6388888888888888, Ellipsis]"
C1=CN=CC=N1,"[3.7222222222222223, 1.6388888888888888, Ellipsis]"
CC(C)CCOC(=O)C,"[10.203016817838247, -0.1845833333333331, Ellipsis]"
CCC(=O)O,"[9.368055555555555, -0.74537037037037, Ellipsis]"
C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CO,"[12.374460663895189, -0.16290249433106574, Ellipsis]"
CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,"[10.894697893046107, 0.1311791383219958, Ellipsis]"
CC1=CCCC(C1/C=C/C(=O)C)(C)C,"[10.897827144746788, 0.1381235827664402, Ellipsis]"
CC(=O)[O-],"[8.88888888888889, -1.0833333333333333, Ellipsis]"
CC(=O)C(C)=O,"[9.793981481481481, -0.3796296296296291, Ellipsis]"
CCCCCC=O,"[9.67967970521542, 0.7438888888888888, Ellipsis]"
CC1OC(=O)C(=C1C)O,"[10.464814814814815, -0.6111111111111109, Ellipsis]"
COC1=C(C=CC(=C1)C=O)O,"[10.248745275888133, 0.0399074074074075, Ellipsis]"
CC(=O)C1=NCCC1,"[10.515231481481482, 0.14120370370370416, Ellipsis]"
CC(C)C=O,"[9.50462962962963, 0.2037037037037035, Ellipsis]"
CCCC(=O)OCC,"[10.420833333333334, -0.08796296296296258, Ellipsis]"
C/C=C/C(=O)C1=C(C)C=CCC1(C)C,"[11.845578703703705, -0.018425925925925846, Ellipsis]"
CCC1=NC=C(N=C1C)C,"[4.281898148148148, 0.9713425925925926, Ellipsis]"
CC/C=C/CC\C=C\C=O,"[9.788900384227766, 0.8090625, Ellipsis]"
