SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolecularWeight,HeavyAtomMolecularWeight,ExactMolecularWeight,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
CCCCOC(=O)C(C)OC(=O)CCC,11.258151455026455,-0.7908276643990935,11.258151455026455,0.33986111111111095,0.4825750418650874,216.27699999999993,196.11699999999996,216.13615912,88,0,0.3466487531410485,-0.4629629025021227,0.4629629025021227,0.3466487531410485,1.2,1.8666666666666667,2.4,3.727284563698516,200.76460234915857,11.681798275874712,9.745877336977816,9.745877336977816,7.112590865130759,5.474666332668862,5.474666332668862,3.4031388201654518,3.4031388201654518,1.8364859304936823,1.8364859304936823,0.9427836233289598,0.9427836233289598,-1.06,1563.5651345249198,13.939999999999998,8.264978629376944,6.938534073823181,90.93880683089692,9.473725907600098,0.0,6.103966387748303,0.0,0.0,11.938610575903699,4.794537184071822,4.794537184071822,0.0,0.0,20.268296022307258,19.765380445542643,6.4208216229260096,6.606881964512918,19.06280027574374,11.938610575903699,0.0,0.0,0.0,52.558464478524215,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.64945892816492,19.06280027574374,0.0,46.454498090775914,0.0,0.0,0.0,0.0,52.6,12.073271675700152,9.589074368143644,0.0,5.969305287951849,13.027703587438928,19.26246486877803,6.923737199690624,0.0,13.847474399381248,0.0,9.473725907600098,9.776840986394557,0.0,22.316040643109098,0.0,0.0,-0.8144957535483321,0.0,2.071935682062846,5.816345108648499,0.0,0.8181818181818182,15,0,4,0,0,0,0,0,0,4,0,4,7,0,0,0,0,2.0615,56.32900000000004
CC(C)CC(=O)O,9.809722222222222,-0.712962962962963,9.809722222222222,0.2754629629629628,0.5668189166571438,102.13299999999998,92.05299999999998,102.06807956,42,0,0.30310054985898266,-0.4812230637329638,0.4812230637329638,0.30310054985898266,1.7142857142857142,2.142857142857143,2.142857142857143,3.126006652390634,66.48040587771368,5.8618073195657985,4.639918936339995,4.639918936339995,3.125897657686229,2.344233162418299,2.344233162418299,1.9917095385726369,1.9917095385726369,0.582868716714724,0.582868716714724,0.34924085250172204,0.34924085250172204,-0.53,19.093583929800843,6.47,2.610921480426842,5.47,43.15477533765576,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,13.847474399381248,5.917906046161393,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,20.268296022307258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,5.917906046161393,20.268296022307258,0.0,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,12.338727669087403,0.0,0.0,0.0,0.0,13.847474399381248,0.0,5.106527394840706,0.0,0.0,9.809722222222222,8.08388888888889,0.0,-0.4375000000000002,0.0,0.2777777777777777,3.766111111111111,0.0,0.8,7,1,2,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1.1171,27.090799999999987
CCCCCCCCC(=O)O,10.088166965860419,-0.6662115509784157,10.088166965860419,0.3394097222222221,0.5783198770575686,158.241,140.09699999999998,158.130679816,66,0,0.3028395565321837,-0.481230389785217,0.481230389785217,0.3028395565321837,1.0909090909090908,1.6363636363636365,2.1818181818181817,2.849761282233442,99.73585546369786,8.52709773749546,7.305209354269655,7.305209354269655,5.270055610029662,4.488391114761732,4.488391114761732,2.9115054961897218,2.9115054961897218,1.7441955573808654,1.7441955573808654,1.056555811042823,1.056555811042823,-0.53,240.89588338167468,10.47,7.575596620908132,9.470000000000002,68.6145437952422,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,39.02784531432067,6.4208216229260096,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,51.8694885601727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,51.8694885601727,0.0,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,0.0,6.4208216229260096,12.841643245852019,25.683286491704038,0.0,0.0,6.923737199690624,5.106527394840706,0.0,0.0,10.088166965860419,8.316177012471655,0.0,-0.6662115509784157,0.0,7.250707986898463,2.177826252414546,0.0,0.8888888888888888,11,1,2,0,0,0,0,0,0,1,1,2,7,0,0,0,0,2.821600000000001,45.62880000000001
CCC(C)CC(=O)O,9.96861111111111,-0.6950462962962958,9.96861111111111,0.30208333333333326,0.6064010060918424,116.15999999999998,104.06399999999998,116.083729624,48,0,0.3031110388175125,-0.4812229374116284,0.4812229374116284,0.3031110388175125,1.75,2.25,2.375,3.2364267831001374,78.59772060569361,6.568914100752346,5.347025717526542,5.347025717526542,3.663902460147014,2.882237964879084,2.882237964879084,2.111282694441687,2.111282694441687,1.220005563838875,1.220005563838875,0.44243328108393676,0.44243328108393676,-0.53,42.84459140699416,7.470000000000001,3.4692670369115906,3.6528153564899446,49.51971745205236,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,20.268296022307258,5.917906046161393,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,26.689117645233267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,5.917906046161393,26.689117645233267,0.0,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,0.0,12.338727669087403,6.4208216229260096,0.0,0.0,13.847474399381248,0.0,5.106527394840706,0.0,0.0,9.96861111111111,8.215,0.0,-0.36865740740740716,0.0,1.2527777777777778,3.9322685185185184,0.0,0.8333333333333334,8,1,2,0,0,0,0,0,0,1,1,2,3,0,0,0,0,1.5072,31.70779999999998
CC(C)CCC(=O)O,9.90375,-0.6956481481481476,9.90375,0.3032407407407407,0.6064010060918424,116.15999999999998,104.06399999999998,116.083729624,48,0,0.30284988820108344,-0.4812302641198295,0.4812302641198295,0.30284988820108344,1.625,2.125,2.25,3.0500782919131915,76.59772060569361,6.568914100752346,5.347025717526542,5.347025717526542,3.625897657686229,2.8442331624182993,2.8442331624182993,2.326260527935518,2.326260527935518,0.9355533079779874,0.9355533079779874,0.41215042213048214,0.41215042213048214,-0.53,40.339203954130696,7.470000000000001,3.4692670369115906,5.469999999999999,49.51971745205236,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,13.847474399381248,12.338727669087403,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,26.689117645233267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,5.917906046161393,26.689117645233267,0.0,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,0.0,12.338727669087403,6.4208216229260096,0.0,0.0,13.847474399381248,0.0,5.106527394840706,0.0,0.0,9.90375,8.16236111111111,0.0,-0.1899999999999996,0.0,1.0902777777777777,4.033611111111111,0.0,0.8333333333333334,8,1,2,0,0,0,0,0,0,1,1,2,3,0,0,0,0,1.5072,31.70779999999998
CCCC(=O)O,9.599305555555556,-0.7106481481481481,9.599305555555556,0.2916666666666665,0.5434407472889116,88.10599999999998,80.04199999999999,88.052429496,36,0,0.30282893657949883,-0.48123051640943176,0.48123051640943176,0.30282893657949883,1.8333333333333333,2.3333333333333335,2.3333333333333335,2.831257109931365,49.50977500432694,4.99156383156272,3.769675448336916,3.769675448336916,2.770055610029662,1.9883911147617317,1.9883911147617317,1.1437385432233529,1.1437385432233529,0.46386547149095514,0.46386547149095514,0.2138654714909552,0.2138654714909552,-0.53,14.834466856136647,5.469999999999999,2.693713646532438,3.4699999999999998,36.78983322325915,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,19.765380445542643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,19.765380445542643,0.0,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,0.0,6.4208216229260096,6.4208216229260096,0.0,0.0,6.923737199690624,0.0,5.106527394840706,0.0,0.0,9.599305555555556,7.913472222222222,0.0,-0.7106481481481481,0.0,1.023148148148148,1.841388888888889,0.0,0.75,6,1,2,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0.8711,22.543799999999994
CCC(C)C(=O)O,9.930324074074074,-0.7060185185185184,9.930324074074074,0.1805555555555558,0.5668189166571438,102.13299999999998,92.05299999999998,102.06807956,42,0,0.30569455284812064,-0.4810341567461046,0.4810341567461046,0.30569455284812064,1.8571428571428572,2.2857142857142856,2.2857142857142856,3.3434170589539596,68.48040587771366,5.8618073195657985,4.639918936339995,4.639918936339995,3.1807392125526213,2.4091114184167597,2.4091114184167597,1.6475335287433368,1.6475335287433368,1.033943437017994,1.033943437017994,0.17462042625086102,0.17462042625086102,-0.53,27.977093296928835,6.47,2.610921480426842,2.2012614259597805,43.15477533765576,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,13.847474399381248,6.4208216229260096,0.0,5.917906046161393,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,20.268296022307258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,5.917906046161393,20.268296022307258,0.0,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,5.917906046161393,0.0,6.4208216229260096,0.0,6.923737199690624,6.923737199690624,0.0,5.106527394840706,0.0,0.0,9.930324074074074,8.18199074074074,0.0,-0.8865740740740742,0.0,0.7175925925925926,3.5566666666666666,0.0,0.8,7,1,2,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1.1171,27.090799999999987
C1CC(C1)C(=O)O,9.981574074074073,-0.619212962962963,9.981574074074073,2.220446049250313e-16,0.5305035492718065,100.11699999999999,92.05299999999998,100.052429496,40,0,0.30598714903577456,-0.48102646184677705,0.48102646184677705,0.30598714903577456,1.5714285714285714,2.142857142857143,2.142857142857143,2.2655980761529655,84.08094399727418,5.276020881938894,4.05413249871309,4.05413249871309,3.3045304526403108,2.532902658504449,2.532902658504449,1.9660647528304416,1.9660647528304416,1.4544125680242606,1.4544125680242606,0.6551988655352016,0.6551988655352016,-0.53,22.187884622684773,4.624559505409582,1.5234757718400516,0.7344230822839645,42.14894418412653,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,6.4208216229260096,12.841643245852019,0.0,5.917906046161393,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,19.26246486877803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,5.917906046161393,19.26246486877803,0.0,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,5.917906046161393,0.0,19.26246486877803,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,9.981574074074073,8.23324074074074,0.0,-0.6192129629629632,0.0,2.9043981481481476,0.0,0.0,0.8,7,1,2,1,0,1,0,0,0,1,1,2,1,1,0,1,1,0.8711,24.97679999999999
C1=CC=C(C=C1)C=O,10.006481481481481,0.7291666666666669,10.006481481481481,0.7291666666666669,0.4956362681365689,106.12399999999997,100.07599999999998,106.041864812,40,0,0.14954802883036308,-0.2978964116504968,0.2978964116504968,0.14954802883036308,1.125,1.75,2.125,2.9910469146846217,167.00151696675914,5.819990956308912,4.3723499056016175,4.3723499056016175,3.931851652578137,2.4350609975132884,2.4350609975132884,1.5285347327207177,1.5285347327207177,0.9356552548998028,0.9356552548998028,0.5316063389306863,0.5316063389306863,-1.11,91.36757727918736,5.035137880986937,2.262450086021194,0.936277398677246,47.95786733393734,0.0,6.286160523129555,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,30.33183534230805,0.0,5.563451491696996,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,0.0,0.0,10.357988675768818,30.33183534230805,0.0,0.0,0.0,17.07,0.0,4.794537184071822,0.0,0.0,0.0,11.849612014826551,0.0,12.13273413692322,18.19910120538483,0.0,0.0,0.0,0.0,10.006481481481481,0.0,0.7291666666666669,0.0,9.097685185185185,0.8333333333333333,0.0,0.0,0.0,8,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1.4990999999999999,31.829499999999996
CC(C(C)O)O,8.37962962962963,-0.5925925925925928,8.37962962962963,0.5925925925925928,0.46574414882903137,90.12199999999999,80.04199999999999,90.06807956,38,0,0.07678369378081898,-0.39073832390870694,0.39073832390870694,0.07678369378081898,1.0,1.1666666666666667,1.1666666666666667,2.9934972434784735,26.52932501298081,5.1547005383792515,4.049127729379167,4.049127729379167,2.6427344100918364,2.0044316512069074,2.0044316512069074,1.481206843160961,1.481206843160961,0.698142396999972,0.698142396999972,0.0,0.0,-0.08,13.609640474436812,5.92,2.157216946676406,2.1751020408163266,37.4225448754114,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,12.207932775496605,10.213054789681411,0.0,0.0,0.0,0.0,26.055407174877853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.420987565178017,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,40.46,12.207932775496605,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,10.213054789681411,0.0,0.0,0.0,16.75925925925926,0.0,0.0,0.0,-1.1851851851851856,3.0925925925925926,0.0,1.0,6,2,2,0,0,0,0,0,0,2,2,2,1,0,0,0,0,-0.252,23.361599999999996
